col_num,treat_ID_full,e_coli,abs_resp_rate_SA_corr,NO3_category,dose_level,temp,feed,symbiont,new_treat_ID_full
167,N_1.5_29_F_A,0,0.014759857,Low,Low,29,Fed,Aposymbiotic,Low_29_Fed_Aposymbiotic
206,N_1.5_29_F_S,0,0.018841429,Low,Low,29,Fed,Symbiotic,Low_29_Fed_Symbiotic
192,N_5_29_F_S,0,0.02115555,Low,Low,29,Fed,Symbiotic,Low_29_Fed_Symbiotic
211,N_0_29_S_A,1,0.021545761,Low,Low,29,Starved,Aposymbiotic,Low_29_Starved_Aposymbiotic
238,N_0_29_F_A,0,0.021598636,Low,Low,29,Fed,Aposymbiotic,Low_29_Fed_Aposymbiotic
240,N_0_29_F_S,0,0.02334343,Low,Low,29,Fed,Symbiotic,Low_29_Fed_Symbiotic
169,A_5_29_S_A,0,0.025687992,Low,Low,29,Starved,Aposymbiotic,Low_29_Starved_Aposymbiotic
254,A_7.5_29_S_S,1,0.026971514,Low,Low,29,Starved,Symbiotic,Low_29_Starved_Symbiotic
186,N_5_29_F_A,0,0.027081657,Low,Low,29,Fed,Aposymbiotic,Low_29_Fed_Aposymbiotic
199,N_1.5_20_F_A,0,0.027683694,Low,Low,20,Fed,Aposymbiotic,Low_20_Fed_Aposymbiotic
167,A_7.5_20_S_S,0,0.028406337,Low,Low,20,Starved,Symbiotic,Low_20_Starved_Symbiotic
152,A_5_29_F_S,0,0.028636209,Low,Low,29,Fed,Symbiotic,Low_29_Fed_Symbiotic
144,A_0_29_F_A,0,0.028637709,Low,Low,29,Fed,Aposymbiotic,Low_29_Fed_Aposymbiotic
169,N_0_20_F_A,0,0.029779574,Low,Low,20,Fed,Aposymbiotic,Low_20_Fed_Aposymbiotic
182,A_7.5_20_S_S,1,0.02985483,Low,Low,20,Starved,Symbiotic,Low_20_Starved_Symbiotic
143,A_0_20_F_S,0,0.03001097,Low,Low,20,Fed,Symbiotic,Low_20_Fed_Symbiotic
224,A_0_29_S_A,0,0.030655281,Low,Low,29,Starved,Aposymbiotic,Low_29_Starved_Aposymbiotic
205,A_5_29_S_S,0,0.031862701,Low,Low,29,Starved,Symbiotic,Low_29_Starved_Symbiotic
254,A_5_29_S_S,1,0.032176449,Low,Low,29,Starved,Symbiotic,Low_29_Starved_Symbiotic
184,"A_0_20_F_A
",1,0.032269747,Low,Low,20,Fed,Aposymbiotic,Low_20_Fed_Aposymbiotic
251,N_5_29_F_S,0,0.033821418,Low,Low,29,Fed,Symbiotic,Low_29_Fed_Symbiotic
162,N_1.5_29_S_A,0,0.034165025,Elevated,Elevated,29,Starved,Aposymbiotic,Elevated_29_Starved_Aposymbiotic
232,N_5_29_S_A,0,0.034197184,Elevated,Elevated,29,Starved,Aposymbiotic,Elevated_29_Starved_Aposymbiotic
235,A_10_29_F_A,0,0.034325831,Low,Low,29,Fed,Aposymbiotic,Low_29_Fed_Aposymbiotic
247,N_5_29_S_S,0,0.034388958,Elevated,Elevated,29,Starved,Symbiotic,Elevated_29_Starved_Symbiotic
194,N_5_29_S_A,0,0.035142002,Elevated,Elevated,29,Starved,Aposymbiotic,Elevated_29_Starved_Aposymbiotic
150,N_18_29_F_A,0,0.035350644,Elevated,Elevated,29,Fed,Aposymbiotic,Elevated_29_Fed_Aposymbiotic
251,N_0_29_F_S,0,0.035351067,Low,Low,29,Fed,Symbiotic,Low_29_Fed_Symbiotic
151,N_0_29_S_A,0,0.035581522,Low,Low,29,Starved,Aposymbiotic,Low_29_Starved_Aposymbiotic
167,A_0_29_S_S,0,0.035602754,Low,Low,29,Starved,Symbiotic,Low_29_Starved_Symbiotic
250,N_0_29_S_S,0,0.035901292,Low,Low,29,Starved,Symbiotic,Low_29_Starved_Symbiotic
155,A_0_29_F_S,1,0.036166859,Low,Low,29,Fed,Symbiotic,Low_29_Fed_Symbiotic
144,A_0_29_F_S,0,0.036414468,Low,Low,29,Fed,Symbiotic,Low_29_Fed_Symbiotic
170,A_0_29_F_A,0,0.03680397,Low,Low,29,Fed,Aposymbiotic,Low_29_Fed_Aposymbiotic
244,N_0_29_S_A,1,0.03696839,Low,Low,29,Starved,Aposymbiotic,Low_29_Starved_Aposymbiotic
225,A_7.5_29_S_A,1,0.037322174,Low,Low,29,Starved,Aposymbiotic,Low_29_Starved_Aposymbiotic
232,A_5_29_F_A,1,0.037576644,Low,Low,29,Fed,Aposymbiotic,Low_29_Fed_Aposymbiotic
248,A_7.5_29_F_S,0,0.037670495,Low,Low,29,Fed,Symbiotic,Low_29_Fed_Symbiotic
168,A_5_20_S_A,0,0.038047354,Low,Low,20,Starved,Aposymbiotic,Low_20_Starved_Aposymbiotic
210,A_10_29_F_A,0,0.038535167,Low,Low,29,Fed,Aposymbiotic,Low_29_Fed_Aposymbiotic
211,A_7.5_20_F_S,0,0.038862393,Low,Low,20,Fed,Symbiotic,Low_20_Fed_Symbiotic
143,A_7.5_20_F_A,0,0.039049428,Low,Low,20,Fed,Aposymbiotic,Low_20_Fed_Aposymbiotic
198,A_5_29_S_S,0,0.039156444,Low,Low,29,Starved,Symbiotic,Low_29_Starved_Symbiotic
206,A_7.5_29_S_S,0,0.039157093,Low,Low,29,Starved,Symbiotic,Low_29_Starved_Symbiotic
237,A_0_20_S_A,1,0.039160314,Low,Low,20,Starved,Aposymbiotic,Low_20_Starved_Aposymbiotic
247,A_0_20_S_A,1,0.039731284,Low,Low,20,Starved,Aposymbiotic,Low_20_Starved_Aposymbiotic
198,N_1.5_29_S_S,0,0.039887618,Elevated,Elevated,29,Starved,Symbiotic,Elevated_29_Starved_Symbiotic
196,A_5_29_F_S,0,0.040067399,Low,Low,29,Fed,Symbiotic,Low_29_Fed_Symbiotic
213,A_0_29_F_A,1,0.04025387,Low,Low,29,Fed,Aposymbiotic,Low_29_Fed_Aposymbiotic
180,N_0_20_S_S,0,0.040495931,Low,Low,20,Starved,Symbiotic,Low_20_Starved_Symbiotic
154,A_0_29_S_A,0,0.040639849,Low,Low,29,Starved,Aposymbiotic,Low_29_Starved_Aposymbiotic
241,N_1.5_29_S_S,1,0.040705417,Elevated,Elevated,29,Starved,Symbiotic,Elevated_29_Starved_Symbiotic
203,N_1.5_20_S_A,0,0.041151782,Low,Low,20,Starved,Aposymbiotic,Low_20_Starved_Aposymbiotic
206,A_10_29_S_S,0,0.041430632,Low,Low,29,Starved,Symbiotic,Low_29_Starved_Symbiotic
234,A_7.5_20_F_A,0,0.041477718,Low,Low,20,Fed,Aposymbiotic,Low_20_Fed_Aposymbiotic
150,N_0_29_F_A,0,0.041588441,Low,Low,29,Fed,Aposymbiotic,Low_29_Fed_Aposymbiotic
249,N_0_20_S_S,0,0.041616112,Low,Low,20,Starved,Symbiotic,Low_20_Starved_Symbiotic
199,N_5_20_F_A,0,0.041745521,Elevated,Elevated,20,Fed,Aposymbiotic,Elevated_20_Fed_Aposymbiotic
241,A_5_29_F_S,0,0.041775429,Low,Low,29,Fed,Symbiotic,Low_29_Fed_Symbiotic
256,N_1.5_20_F_S,1,0.042992884,Low,Low,20,Fed,Symbiotic,Low_20_Fed_Symbiotic
181,A_5_29_F_S,0,0.043698219,Low,Low,29,Fed,Symbiotic,Low_29_Fed_Symbiotic
187,A_0_20_S_A,1,0.043754215,Low,Low,20,Starved,Aposymbiotic,Low_20_Starved_Aposymbiotic
235,A_0_29_F_A,0,0.043768181,Low,Low,29,Fed,Aposymbiotic,Low_29_Fed_Aposymbiotic
170,N_0_29_S_A,0,0.044019645,Low,Low,29,Starved,Aposymbiotic,Low_29_Starved_Aposymbiotic
144,A_0_20_S_S,0,0.044037176,Low,Low,20,Starved,Symbiotic,Low_20_Starved_Symbiotic
186,N_1.5_29_F_A,0,0.044307673,Low,Low,29,Fed,Aposymbiotic,Low_29_Fed_Aposymbiotic
170,N_1.5_29_S_A,0,0.044456675,Elevated,Elevated,29,Starved,Aposymbiotic,Elevated_29_Starved_Aposymbiotic
